id,start_time,origin,destination,kind
102,199,4,3,Human
103,201,0,3,Human
104,203,0,12,Human
105,204,4,3,Human
106,204,17,3,Human
107,212,4,3,Human
108,213,4,20,Human
109,220,1,10,Human
110,221,4,20,Human
111,221,26,3,Human
112,223,7,9,Human
113,225,7,4,Human
114,226,4,3,Human
115,226,7,10,Human
116,228,7,9,Human
117,229,17,3,Human
118,230,7,4,Human
119,231,7,10,Human
120,233,7,4,Human
121,233,4,3,Human
122,234,7,10,Human
123,235,0,21,Human
124,236,7,10,Human
125,238,7,9,Human
126,238,8,21,Human
127,240,27,2,Human
128,245,16,10,Human
129,245,4,20,Human
130,245,17,22,Human
131,246,16,10,Human
132,248,11,3,Human
133,248,16,9,Human
134,249,11,3,Human
135,258,4,3,Human
136,260,11,3,Human
137,261,28,9,Human
138,262,0,23,Human
139,264,29,3,Human
140,265,4,24,Human
141,267,11,3,Human
142,267,4,3,Human
143,268,30,25,Human
144,269,4,3,Human
145,269,11,3,Human
146,271,11,26,Human
147,272,11,3,Human
148,280,4,16,Human
149,281,1,1,Human
150,283,11,3,Human
151,285,11,3,Human
152,286,16,12,Human
153,288,16,27,Human
154,289,11,28,Human
155,289,16,9,Human
156,292,8,9,Human
157,292,4,29,Human
158,293,31,2,Human
159,293,4,3,Human
160,295,4,3,Human
161,296,4,3,Human
162,298,4,3,Human
163,299,11,3,Human
164,301,11,3,Human
165,305,16,30,Human
166,305,17,5,Human
167,306,32,9,Human
168,307,33,9,Human
169,308,4,31,Human
170,315,0,3,Human
171,317,0,3,Human
172,320,4,3,Human
173,320,0,3,Human
174,323,8,32,Human
175,323,4,33,Human
176,324,0,16,Human
177,324,4,34,Human
178,326,8,9,Human
179,329,34,10,Human
180,329,8,9,Human
181,330,8,9,Human
182,331,16,10,Human
183,332,17,3,Human
184,335,11,3,Human
185,335,16,12,Human
186,335,21,35,Human
187,336,11,3,Human
188,337,16,9,Human
189,338,16,10,Human
190,339,1,1,Human
191,340,17,36,Human
192,340,11,3,Human
193,342,11,4,Human
194,343,1,10,Human
195,346,1,1,Human
196,347,11,3,Human
197,347,0,2,Human
198,348,13,37,Human
199,351,11,3,Human
200,351,4,3,Human
201,353,11,3,Human
202,354,4,20,Human
203,355,0,2,Human
204,356,4,20,Human
205,357,4,20,Human
206,359,4,20,Human
207,362,4,38,Human
208,366,11,3,Human
209,368,4,20,Human
210,370,35,3,Human
211,374,11,3,Human
212,375,36,20,Human
213,376,0,39,Human
214,377,16,10,Human
215,378,1,10,Human
216,379,11,2,Human
217,380,11,40,Human
218,381,8,9,Human
219,382,11,3,Human
220,382,1,1,Human
221,383,37,41,Human
222,383,8,9,Human
223,384,11,3,Human
224,386,11,3,Human
225,387,11,20,Human
226,389,11,3,Human
227,390,38,10,Human
228,395,4,20,Human
229,396,16,5,Human
230,398,4,4,Human
231,399,11,3,Human
232,399,4,20,Human
233,400,4,20,Human
234,402,4,20,Human
235,403,4,20,Human
236,411,4,20,Human
237,412,4,5,Human
238,413,39,9,Human
239,413,40,20,Human
240,414,41,2,Human
241,414,4,2,Human
242,418,42,20,Human
243,419,11,3,Human
244,423,4,10,Human
245,423,4,20,Human
246,424,16,10,Human
247,427,11,3,Human
248,429,43,20,Human
249,429,11,20,Human
250,434,16,10,Human
251,435,0,3,Human
252,438,11,20,Human
253,446,1,1,Human
254,448,1,1,Human
255,450,17,5,Human
256,450,11,20,Human
257,450,1,42,Human
258,451,11,4,Human
259,452,1,1,Human
260,453,31,2,Human
261,453,11,2,Human
262,455,1,1,Human
263,456,4,20,Human
264,458,4,20,Human
265,459,4,5,Human
266,462,44,20,Human
267,462,21,4,Human
268,464,0,3,Human
269,465,21,43,Human
270,468,43,2,Human
271,474,45,10,Human
272,474,11,4,Human
273,481,16,9,Human
274,481,4,5,Human
275,482,2,2,Human
276,483,16,44,Human
277,484,16,10,Human
278,487,46,3,Human
279,491,1,1,Human
280,495,47,20,Human
281,495,1,1,Human
282,500,1,1,Human
283,500,4,20,Human
284,504,48,3,Human
285,507,49,3,Human
286,508,1,1,Human
287,512,21,4,Human
288,515,50,12,Human
289,515,22,20,Human
290,516,16,45,Human
291,517,16,10,Human
292,521,7,1,Human
293,521,16,46,Human
294,522,7,4,Human
295,524,11,20,Human
296,524,4,5,Human
297,525,17,5,Human
298,528,11,47,Human
299,529,11,5,Human
